	D4M31	D4M32	D4M33	D4M34	D4M35	D4M36	D4M37	D4M38	D4M39	D4M40	D5M31	D5M32	D5M33	D5M34	D5M35	D5M37	D5M38	D5M39	D5M40	D6M31	D6M32	D6M33	D6M34	D6M35	D6M36	D6M37	D6M38	D6M39	D6M40	D9M31	D9M32	D9M33	D9M34	D9M35	D9M36	D9M37	D9M38	D9M39	D9M40	D12M31	D12M32	D12M33	D12M34	D12M35	D12M36	D12M37	D12M38	D12M39	D12M40
D4M31	0.0	0.2928517140685627	0.4638585543421737	0.7128685147405897	0.4282971318852754	0.4889395575823033	0.5046201848073923	0.5328613144525781	0.5585823432937318	0.5243809752390095	0.5758630345213809	0.5460618424736989	0.5539421576863075	0.59434377375095	0.531061242449698	0.6443057722308893	0.6133845353814152	0.6075843033721349	0.6271450858034321	0.3852154086163447	0.4076563062522501	0.4358974358974359	0.5199807992319693	0.3771350854034161	0.5870634825393015	0.5289411576463059	0.5491819672786912	0.5269410776431057	0.5362214488579543	0.4395775831033241	0.4581783271330853	0.5033001320052802	0.4345773830953238	0.3619344773790952	0.4773790951638065	0.5098603944157767	0.407416296651866	0.4470178807152286	0.5121804872194888	0.4620984839393576	0.5914636585463419	0.4570982839313572	0.5059802392095684	0.5333013320532821	0.6064242569702788	0.5647425897035881	0.5322612904516181	0.5729429177167087	0.4610584423376935
D4M32	0.2928517140685627	0.0	0.4946997879915196	0.6986279451178047	0.4323772950918036	0.4037361494459778	0.4739389575583023	0.4875395015800632	0.5324612984519381	0.4952998119924797	0.6023440937637505	0.5879835193407736	0.5527821112844514	0.6062642505700228	0.5548221928877155	0.6102644105764231	0.6113444537781512	0.6065042601704068	0.687227489099564	0.4651386055442217	0.3854154166166647	0.4330973238929557	0.5173406936277452	0.4562982519300772	0.5147805912236489	0.4519380775231009	0.5116604664186567	0.4797791911676467	0.4796591863674547	0.4734189367574703	0.4287771510860434	0.5351014040561622	0.4784591383655346	0.3890955638225529	0.4711788471538861	0.4796591863674547	0.437257490299612	0.4287371494859794	0.4471778871154846	0.4668986759470379	0.5237009480379216	0.515620624824993	0.4868594743789751	0.5405416216648666	0.5549021960878435	0.5188607544301772	0.5574622984919396	0.5430217208688347	0.4610184407376295
D4M33	0.4638585543421737	0.4946997879915196	0.0	0.8092723708948358	0.4935797431897276	0.5925837033481339	0.6055442217688708	0.6142245689827593	0.6525061002440098	0.5822232889315573	0.5247009880395216	0.5884635385415417	0.6760270410816432	0.6493859754390175	0.6344253770150806	0.8043921756870275	0.7768710748429937	0.7755510220408817	0.7966318652746109	0.3843353734149366	0.485459418376735	0.3624144965798632	0.3865754630185207	0.3181727269090764	0.6629465178607145	0.6515860634425377	0.5993439737589503	0.6315852634105364	0.6223848953958159	0.5900636025441017	0.6520260810432418	0.6186247449897996	0.5009400376015041	0.5349813992559702	0.5930637225489019	0.6267450698027921	0.5115804632185288	0.5892235689427577	0.6371854874194968	0.6807072282891315	0.6586263450538021	0.6649065962638505	0.6979879195167806	0.71886875475019	0.7065882635305413	0.6841473658946358	0.6078243129725189	0.7060282411296452	0.5576623064922597
D4M34	0.7128685147405897	0.6986279451178047	0.8092723708948358	0.0	0.7354294171766871	0.7331093243729749	0.7458298331933277	0.7241489659586383	0.7550302012080483	0.78063122524901	0.7951918076723069	0.8055122204888195	0.7925517020680827	0.8093923756950278	0.7909516380655226	0.7996719868794752	0.7764310572422897	0.7709108364334574	0.7837113484539382	0.7624704988199528	0.7307892315692628	0.7198687947517901	0.7429097163886555	0.7560302412096483	0.7228689147565902	0.7146285851434058	0.7534301372054882	0.7292291691667667	0.7320292811712469	0.7565502620104804	0.735709428377135	0.781311252450098	0.7414696587863514	0.7354294171766871	0.7350294011760471	0.7484699387975519	0.7412296491859675	0.7264690587623505	0.7360694427777111	0.7531501260050402	0.7439097563902556	0.7532701308052322	0.748869954798192	0.7465498619944798	0.7743509740389616	0.7750710028401137	0.7706308252330093	0.7884315372614905	0.7567502700108004
D4M35	0.4282971318852754	0.4323772950918036	0.4935797431897276	0.7354294171766871	0.0	0.5515820632825313	0.6047841913676547	0.609864394575783	0.6591063642545701	0.5637825513020521	0.6535061402456098	0.6344653786151446	0.626545061802472	0.6669466778671147	0.6678267130685227	0.7219088763550542	0.7323492939717589	0.7278691147645906	0.7449897995919836	0.5427417096683868	0.5343413736549462	0.5672626905076203	0.6345853834153367	0.3538141525661026	0.6158646345853834	0.6173446937877515	0.609424376975079	0.6601464058562343	0.6517060682427297	0.6770270810832433	0.6681067242689708	0.688667546701868	0.6500260010400416	0.5665026601064043	0.5835433417336694	0.6322652906116245	0.5841433657346294	0.5959038361534461	0.6137845513820552	0.6641865674626986	0.7153886155446217	0.6826273050922037	0.6838673546941878	0.7120284811392456	0.7016280651226049	0.6927877115084603	0.6837873514940598	0.7013880555222209	0.5753830153206129
D4M36	0.4889395575823033	0.4037361494459778	0.5925837033481339	0.7331093243729749	0.5515820632825313	0.0	0.2677307092283691	0.3244529781191247	0.2948917956718269	0.3096123844953798	0.6056642265690627	0.5642625705028201	0.5879035161406456	0.6231449257970318	0.5730229209168367	0.6029441177647106	0.5958638345533821	0.59314372574903	0.6394655786231449	0.4739789591583663	0.4912196487859514	0.5165406616264651	0.500420016800672	0.5523420936837473	0.2903716148645945	0.2736509460378415	0.3176127045081803	0.3303332133285331	0.2870914836593464	0.4979799191967679	0.3984559382375295	0.5606224248969959	0.4660186407456298	0.359694387775511	0.3893355734229369	0.4329773190927637	0.3048921956878275	0.3871354854194168	0.4046161846473859	0.4092163686547462	0.49969998799952	0.4403776151046041	0.46941877675107	0.4750590023600944	0.407376295051802	0.406296251850074	0.4314572582903316	0.407376295051802	0.3162526501060042
D4M37	0.5046201848073923	0.4739389575583023	0.6055442217688708	0.7458298331933277	0.6047841913676547	0.2677307092283691	0.0	0.3502140085603424	0.2845313812552502	0.313052522100884	0.6152646105844234	0.5253410136405456	0.5441817672706908	0.6107444297771911	0.5232209288371534	0.6556662266490659	0.6173046921876875	0.6141445657826313	0.6469058762350494	0.5513020520820833	0.5145805832233289	0.5525021000840034	0.5512620504820193	0.5679827193087723	0.3253730149205968	0.2430897235889435	0.359414376575063	0.3680947237889516	0.3009320372814912	0.4971398855954238	0.4326973078923157	0.5569022760910436	0.4467378695147806	0.3685347413896556	0.3508140325613024	0.2620504820192808	0.2484099363974559	0.2943317732709308	0.2859314372574903	0.469698787951518	0.5479419176767071	0.4746589863594543	0.5171006840273611	0.5046601864074562	0.4397375895035801	0.3538941557662306	0.3174126965078603	0.3858954358174327	0.2992119684787391
D4M38	0.5328613144525781	0.4875395015800632	0.6142245689827593	0.7241489659586383	0.609864394575783	0.3244529781191247	0.3502140085603424	0.0	0.2877315092603704	0.4159766390655626	0.6049441977679108	0.5725029001160047	0.53218128725149	0.6322252890115605	0.5820232809312372	0.5694627785111405	0.6019440777631105	0.6062242489699587	0.6299451978079124	0.6008640345613825	0.5066602664106564	0.5825433017320693	0.547621904876195	0.5901436057442297	0.3588543541741669	0.391735669426777	0.2420096803872155	0.3588943557742309	0.3701348053922157	0.5509420376815073	0.4407776311052442	0.6109844393775751	0.4894995799831993	0.3930157206288251	0.3804952198087923	0.4868994759790391	0.3053722148885955	0.359254370174807	0.4210568422736909	0.4825393015720629	0.5393415736629465	0.468858754350174	0.5392615704628185	0.5296211848473938	0.4273370934837393	0.3994559782391295	0.3526541061642466	0.3799751990079603	0.313652546101844
D4M39	0.5585823432937318	0.5324612984519381	0.6525061002440098	0.7550302012080483	0.6591063642545701	0.2948917956718269	0.2845313812552502	0.2877315092603704	0.0	0.3658946357854314	0.5768630745229809	0.4946197847913917	0.5365014600584024	0.5954638185527421	0.5105004200168006	0.6195847833913356	0.6041841673666947	0.6049441977679108	0.5954638185527421	0.6324652986119444	0.531341253650146	0.6048641945677827	0.5608624344973799	0.62542501700068	0.2672906916276651	0.2947317892715708	0.3367734709388375	0.3088523540941638	0.2892115684627385	0.5410616424656987	0.37557502300092	0.5819832793311732	0.4862194487779511	0.4457378295131805	0.3430137205488219	0.4368974758990359	0.3403736149445978	0.3143725749029961	0.3920156806272251	0.4778591143645745	0.5005400216008641	0.4340573622944917	0.5282611304452178	0.4626585063402536	0.3714948597943918	0.3636145445817832	0.3003320132805312	0.2944117764710588	0.3102124084963398
D4M40	0.5243809752390095	0.4952998119924797	0.5822232889315573	0.78063122524901	0.5637825513020521	0.3096123844953798	0.313052522100884	0.4159766390655626	0.3658946357854314	0.0	0.6979079163166527	0.6364254570182807	0.6325053002120085	0.719028761150446	0.6498659946397856	0.5733029321172847	0.562302492099684	0.5602624104964199	0.6196247849913996	0.5587823512940517	0.6078243129725189	0.6287851514060563	0.6219448777951118	0.562582503300132	0.3965358614344574	0.3893755750230009	0.2989319572782911	0.3457338293531741	0.3065722628905156	0.577103084123365	0.4560582423296931	0.6334653386135446	0.5302212088483539	0.4432177287091484	0.5189807592303692	0.4963798551942077	0.3818552742109684	0.4268570742829713	0.4419776791071643	0.4789391575663027	0.4457778311132445	0.4931397255890236	0.468738749549982	0.4019360774430977	0.4348573942957718	0.4560982439297572	0.4616584663386535	0.3633745349813992	0.3391735669426777
D5M31	0.5758630345213809	0.6023440937637505	0.5247009880395216	0.7951918076723069	0.6535061402456098	0.6056642265690627	0.6152646105844234	0.6049441977679108	0.5768630745229809	0.6979079163166527	0.0	0.2716508660346414	0.4288171526861074	0.3742949717988719	0.3711748469938797	0.6781471258850355	0.703868154726189	0.6961878475139005	0.7349093963758551	0.5891035641425657	0.641785671426857	0.5493819752790111	0.531461258450338	0.5684227369094764	0.5963038521540862	0.6102244089763591	0.59274370974839	0.6116644665786631	0.6042641705668227	0.6277851114044561	0.624664986599464	0.6946677867114684	0.5963838553542141	0.6371854874194968	0.5510220408816353	0.6202248089923597	0.5538621544861795	0.6030241209648386	0.6285851434057362	0.6829473178927157	0.6808672346893876	0.6333053322132886	0.733589343573743	0.7192287691507661	0.6759070362814512	0.6396255850234009	0.5338613544541781	0.6658666346653866	0.6286251450058002
D5M32	0.5460618424736989	0.5879835193407736	0.5884635385415417	0.8055122204888195	0.6344653786151446	0.5642625705028201	0.5253410136405456	0.5725029001160047	0.4946197847913917	0.6364254570182807	0.2716508660346414	0.0	0.3412536501460058	0.3145725829033161	0.2744909796391855	0.6665066602664107	0.6916276651066042	0.6851874074962998	0.7115884635385415	0.6380255210208409	0.640585623424937	0.5830633225329013	0.5737829513180527	0.578023120924837	0.5626625065002601	0.5423816952678107	0.5719028761150446	0.578223128925157	0.5715028601144045	0.5650626025041001	0.5605824232969319	0.6278251130045202	0.5392615704628185	0.5447017880715228	0.5131005240209608	0.5020600824032961	0.5105804232169286	0.5132605304212169	0.5543821752870115	0.6947877915116605	0.6926677067082684	0.6153846153846154	0.7574302972118885	0.6892275691027641	0.6645865834633385	0.5564622584903396	0.4556982279291172	0.5994639785591424	0.6214648585943437
D5M33	0.5539421576863075	0.5527821112844514	0.6760270410816432	0.7925517020680827	0.626545061802472	0.5879035161406456	0.5441817672706908	0.53218128725149	0.5365014600584024	0.6325053002120085	0.4288171526861074	0.3412536501460058	0.0	0.46941877675107	0.3826953078123125	0.6623464938597544	0.6823072922916916	0.6788671546861874	0.607944317772711	0.7389495579823193	0.6186647465898636	0.6864274570982839	0.6636665466618665	0.6780671226849074	0.5597423896955879	0.5539421576863075	0.547381895275811	0.5329013160526421	0.59394375775031	0.624904996199848	0.5222208888355534	0.6049841993679748	0.6207448297931917	0.5412216488659546	0.468458738349534	0.5187007480299212	0.5179007160286412	0.4262170486819472	0.499539981599264	0.639665586623465	0.6448257930317213	0.5886235449417977	0.7057882315292612	0.6435457418296732	0.5788631545261811	0.5113404536181447	0.4719388775551022	0.5103404136165447	0.5514620584823393
D5M34	0.59434377375095	0.6062642505700228	0.6493859754390175	0.8093923756950278	0.6669466778671147	0.6231449257970318	0.6107444297771911	0.6322252890115605	0.5954638185527421	0.719028761150446	0.3742949717988719	0.3145725829033161	0.46941877675107	0.0	0.2922516900676027	0.6973478939157566	0.7275891035641425	0.7219488779551182	0.7243089723588944	0.7296291851674067	0.6655866234649386	0.6665466618664747	0.6471458858354334	0.6521460858434337	0.6063042521700868	0.6076243049721989	0.5985039401576063	0.6342253690147606	0.6166246649865995	0.7161486459458378	0.655866234649386	0.7311492459698388	0.6917076683067322	0.6752270090803633	0.5991439657586304	0.5703828153126125	0.5847033881355255	0.6236249449977999	0.639825593023721	0.7165086603464138	0.7107484299371974	0.6764270570822833	0.7583903356134245	0.7539101564062562	0.702788111524461	0.6548261930477219	0.5911436457458298	0.6928277131085243	0.6490259610384416
D5M35	0.531061242449698	0.5548221928877155	0.6344253770150806	0.7909516380655226	0.6678267130685227	0.5730229209168367	0.5232209288371534	0.5820232809312372	0.5105004200168006	0.6498659946397856	0.3711748469938797	0.2744909796391855	0.3826953078123125	0.2922516900676027	0.0	0.6950678027121084	0.7052682107284292	0.6969078763150526	0.6898675947037881	0.7116684667386696	0.6342653706148246	0.6445457818312732	0.625465018600744	0.6286251450058002	0.5799431977279091	0.5332613304532181	0.5857434297371895	0.561902476099044	0.5537421496859875	0.6081043241729669	0.5620624824993	0.6127045081803272	0.59374374974999	0.5577823112924517	0.5527021080843234	0.4653786151446057	0.5230609224368975	0.4909796391855674	0.5301812072482899	0.6613864554582183	0.6881875275011	0.624544981799272	0.718748749949998	0.6575463018520741	0.6435857434297372	0.5398615944637786	0.4898195927837113	0.594303772150886	0.6122644905796232
D5M37	0.6443057722308893	0.6102644105764231	0.8043921756870275	0.7996719868794752	0.7219088763550542	0.6029441177647106	0.6556662266490659	0.5694627785111405	0.6195847833913356	0.5733029321172847	0.6781471258850355	0.6665066602664107	0.6623464938597544	0.6973478939157566	0.6950678027121084	0.0	0.2099683987359494	0.2076883075323013	0.4338973558942358	0.7463898555942238	0.7229889195567822	0.7308292331693268	0.6980679227169087	0.7574702988119525	0.5661826473058922	0.5675027001080043	0.4476979079163166	0.4954998199927997	0.5267410696427857	0.7265890635625425	0.5023000920036802	0.7529901196047842	0.7087083483339334	0.6011440457618304	0.7085083403336133	0.7272290891635665	0.625265010600424	0.702268090723629	0.7395495819832794	0.5734229369174767	0.374854994199768	0.53058122324893	0.5400616024640985	0.4967398695947838	0.5769430777231089	0.671946877875115	0.686627465098604	0.5698627945117805	0.6017440697627905
D5M38	0.6133845353814152	0.6113444537781512	0.7768710748429937	0.7764310572422897	0.7323492939717589	0.5958638345533821	0.6173046921876875	0.6019440777631105	0.6041841673666947	0.562302492099684	0.703868154726189	0.6916276651066042	0.6823072922916916	0.7275891035641425	0.7052682107284292	0.2099683987359494	0.0	0.0438017520700828	0.3782951318052722	0.7066282651306052	0.6698667946717869	0.7036281451258051	0.6761470458818353	0.7486299451978079	0.5403416136645466	0.5324212968518741	0.4595383815352614	0.4714188567542701	0.514380575223009	0.6620264810592423	0.4515780631225249	0.6930677227089084	0.65610624424977	0.5593823752950118	0.6640665626625065	0.687867514700588	0.624544981799272	0.6619464778591143	0.7012680507220289	0.5337013480539221	0.3306132245289812	0.5143405736229449	0.4858194327773111	0.4549781991279651	0.5542221688867555	0.6439057562302493	0.656226249049962	0.545701828073123	0.5689827593103725
D5M39	0.6075843033721349	0.6065042601704068	0.7755510220408817	0.7709108364334574	0.7278691147645906	0.59314372574903	0.6141445657826313	0.6062242489699587	0.6049441977679108	0.5602624104964199	0.6961878475139005	0.6851874074962998	0.6788671546861874	0.7219488779551182	0.6969078763150526	0.2076883075323013	0.0438017520700828	0.0	0.3742149685987439	0.6924676987079483	0.6633065322612904	0.6935477419096764	0.6737869514780591	0.7393895755830233	0.5381815272610905	0.530941237649506	0.4643385735429417	0.4716588663546542	0.5176607064282571	0.6551462058482339	0.4489379575183007	0.6933477339093563	0.6481059242369694	0.5537821512860515	0.6613064522580904	0.6854674186967479	0.625985039401576	0.6599463978559142	0.6994279771190848	0.5145405816232649	0.3139325573022921	0.4924996999879995	0.4742589703588143	0.4483379335173407	0.5512620504820193	0.6425857034281371	0.6533861354454178	0.5442217688707548	0.5655826233049323
D5M40	0.6271450858034321	0.687227489099564	0.7966318652746109	0.7837113484539382	0.7449897995919836	0.6394655786231449	0.6469058762350494	0.6299451978079124	0.5954638185527421	0.6196247849913996	0.7349093963758551	0.7115884635385415	0.607944317772711	0.7243089723588944	0.6898675947037881	0.4338973558942358	0.3782951318052722	0.3742149685987439	0.0	0.7137885515420617	0.6418656746269851	0.7144685787431497	0.687267490699628	0.7516300652026081	0.5362214488579543	0.577143085723429	0.5264610584423377	0.4464978599143965	0.5190607624304973	0.6788671546861874	0.4723388935557422	0.6764670586823472	0.6695067802712108	0.5911836473458938	0.6435457418296732	0.6841873674946998	0.6055442217688708	0.6446257850314012	0.688107524300972	0.546701868074723	0.4598583943357734	0.5069002760110405	0.5039801592063683	0.5125005000200008	0.5058202328093123	0.6142245689827593	0.6373054922196888	0.4950598023920957	0.5374614984599384
D6M31	0.3852154086163447	0.4651386055442217	0.3843353734149366	0.7624704988199528	0.5427417096683868	0.4739789591583663	0.5513020520820833	0.6008640345613825	0.6324652986119444	0.5587823512940517	0.5891035641425657	0.6380255210208409	0.7389495579823193	0.7296291851674067	0.7116684667386696	0.7463898555942238	0.7066282651306052	0.6924676987079483	0.7137885515420617	0.0	0.3775351014040561	0.2420096803872155	0.2983319332773311	0.3466138645545822	0.5596223848953958	0.5401816072642905	0.5694627785111405	0.5044601784071363	0.5325013000520021	0.3492539701588063	0.56286251450058	0.5018200728029121	0.3393735749429977	0.3724548981959278	0.5362214488579543	0.5815432617304692	0.4580183207328293	0.5387415496619865	0.5686227449097964	0.4008560342413697	0.6113844553782152	0.4886195447817912	0.4731389255570223	0.5375415016600664	0.6146245849833993	0.5996239849593984	0.5886235449417977	0.6063442537701508	0.5015800632025281
D6M32	0.4076563062522501	0.3854154166166647	0.485459418376735	0.7307892315692628	0.5343413736549462	0.4912196487859514	0.5145805832233289	0.5066602664106564	0.531341253650146	0.6078243129725189	0.641785671426857	0.640585623424937	0.6186647465898636	0.6655866234649386	0.6342653706148246	0.7229889195567822	0.6698667946717869	0.6633065322612904	0.6418656746269851	0.3775351014040561	0.0	0.3312132485299412	0.4122164886595464	0.3782951318052722	0.4476179047161887	0.4872194887795512	0.4894595783831353	0.4292971718868755	0.4635385415416617	0.4390175607024281	0.4182967318692748	0.5181407256290251	0.4352174086963478	0.3618144725789031	0.4100964038561542	0.5095003800152006	0.4120964838593544	0.4023360934437378	0.4633785351414056	0.4751390055602224	0.5117004680187207	0.5172206888275531	0.4336573462938518	0.5502620104804192	0.4731389255570223	0.4575383015320612	0.4979399175967038	0.5033401336053442	0.4026161046441858
D6M33	0.4358974358974359	0.4330973238929557	0.3624144965798632	0.7198687947517901	0.5672626905076203	0.5165406616264651	0.5525021000840034	0.5825433017320693	0.6048641945677827	0.6287851514060563	0.5493819752790111	0.5830633225329013	0.6864274570982839	0.6665466618664747	0.6445457818312732	0.7308292331693268	0.7036281451258051	0.6935477419096764	0.7144685787431497	0.2420096803872155	0.3312132485299412	0.0	0.2296091843673747	0.3480539221568863	0.5174606984279371	0.4829393175727029	0.5401416056642265	0.4781391255650226	0.4754590183607344	0.3965758630345213	0.531421256850274	0.4972998919956798	0.3254930197207888	0.4080563222528901	0.5089403576143046	0.5360214408576343	0.4519780791231649	0.5137405496219849	0.5026601064042562	0.469698787951518	0.5578623144925797	0.5055402216088644	0.4968198727949118	0.5608224328973159	0.5846633865354615	0.5636225449017961	0.5677027081083243	0.5895035801432057	0.5349413976559062
D6M34	0.5199807992319693	0.5173406936277452	0.3865754630185207	0.7429097163886555	0.6345853834153367	0.500420016800672	0.5512620504820193	0.547621904876195	0.5608624344973799	0.6219448777951118	0.531461258450338	0.5737829513180527	0.6636665466618665	0.6471458858354334	0.625465018600744	0.6980679227169087	0.6761470458818353	0.6737869514780591	0.687267490699628	0.2983319332773311	0.4122164886595464	0.2296091843673747	0.0	0.3943757750310012	0.499939997599904	0.4889795591823673	0.515980639225569	0.4511380455218208	0.4823392935717429	0.4044161766470658	0.5037801512060482	0.4958198327933117	0.3585743429737189	0.4488579543181727	0.4918196727869114	0.546301852074083	0.4397375895035801	0.5151406056242249	0.5423816952678107	0.5125005000200008	0.5483019320772831	0.5066602664106564	0.5645425817032681	0.5813432537301492	0.5551022040881636	0.5426217048681947	0.5126605064202568	0.5503420136805472	0.5094203768150726
D6M35	0.3771350854034161	0.4562982519300772	0.3181727269090764	0.7560302412096483	0.3538141525661026	0.5523420936837473	0.5679827193087723	0.5901436057442297	0.62542501700068	0.562582503300132	0.5684227369094764	0.578023120924837	0.6780671226849074	0.6521460858434337	0.6286251450058002	0.7574702988119525	0.7486299451978079	0.7393895755830233	0.7516300652026081	0.3466138645545822	0.3782951318052722	0.3480539221568863	0.3943757750310012	0.0	0.6261850474018961	0.5769430777231089	0.5640225609024361	0.5691827673106924	0.5688227529101164	0.4884595383815353	0.5878635145405816	0.592783711348454	0.4329773190927637	0.4620984839393576	0.5584223368934758	0.579583183327333	0.4751390055602224	0.5230609224368975	0.5796631865274611	0.5685027401096043	0.6363454538181528	0.5709428377135085	0.5962238489539582	0.6306652266090643	0.6371454858194328	0.6081443257730309	0.5583823352934117	0.6208648345933837	0.5009000360014401
