Taxonomy	D4M31	D4M32	D4M33	D4M34	D4M35	D4M36	D4M37	D4M38	D4M39	D4M40	D5M31	D5M32	D5M33	D5M34	D5M35	D5M37	D5M38	D5M39	D5M40	D6M31	D6M32	D6M33	D6M34	D6M35	D6M36	D6M37	D6M38	D6M39	D6M40	D9M31	D9M32	D9M33	D9M34	D9M35	D9M36	D9M37	D9M38	D9M39	D9M40	D12M31	D12M32	D12M33	D12M34	D12M35	D12M36	D12M37	D12M38	D12M39	D12M40	Tax_detail
Bacteroidota	0.586903476139045	0.572662906516261	0.698787951518061	0.227089083563343	0.612984519380776	0.666546661866475	0.722748909956398	0.687267490699629	0.741789671586864	0.817192687707508	0.65930637225489	0.6891875675027	0.584383375335013	0.670546821872875	0.794751790071603	0.566582663306533	0.609664386575463	0.603424136965479	0.507340293611745	0.662666506660267	0.537141485659427	0.633145325813033	0.700468018720749	0.700748029921197	0.666866674666987	0.643585743429737	0.78523140925637	0.727229089163567	0.711348453938158	0.593183727349094	0.576703068122725	0.455138205528221	0.661946477859115	0.69038761550462	0.578463138525541	0.615224608984359	0.711668466738669	0.700908036321453	0.633025321012841	0.550062002480099	0.630665226609065	0.56426257050282	0.53738149525981	0.614904596183847	0.634425377015081	0.650666026641066	0.738749549981999	0.771390855634225	0.734869394775791	k__Bacteria;p__Bacteroidota;
Firmicutes	0.298211928477139	0.330493219728789	0.268930757230289	0.285451418056722	0.239569582783311	0.275451018040722	0.244489779591184	0.217688707548302	0.187127485099404	0.164646585863435	0.15160606424257	0.169326773070923	0.233529341173647	0.243289731589264	0.128645145805832	0.295091803672147	0.272210888435538	0.276411056442258	0.213008520340814	0.310692427697108	0.413736549461978	0.330693227729109	0.270450818032721	0.264490579623185	0.28133125325013	0.290931637265491	0.185847433897356	0.225449017960719	0.223088923556942	0.34729389175567	0.289411576463059	0.449377975119005	0.295651826073043	0.250930037201488	0.324012960518421	0.337573502940118	0.235169406776271	0.247289891595664	0.313492539701588	0.365494619784792	0.280291211648466	0.290011600464019	0.392135685427417	0.302252090083603	0.314292571702868	0.3188127525101	0.21796871874875	0.19448777951118	0.230929237169487	k__Bacteria;p__Firmicutes;
Proteobacteria	0.0113604544181767	0.0239209568382735	0.0080403216128645	0.226529061162447	0.0341613664546582	0.0170006800272011	0.015000600024001	0.0362014480579224	0.0230409216368655	0.0030001200048001	0.0191607664306572	0.0212008480339214	0.0104004160166407	0.0216008640345614	0.015120604824193	0.0357614304572183	0.0259610384415377	0.0241609664386575	0.0100404016160646	0.0040801632065282	0.0074402976119044	0.014920596823873	0.0048001920076803	0.0064402576103044	0.0234409376375055	0.0299211968478739	0.0124004960198408	0.0122004880195208	0.0110404416176647	0.0018400736029441	0.0070402816112644	0.0017600704028161	0.0018400736029441	0.0028001120044801	0.0041601664066562	0.0019600784031361	0.0040001600064002	0.0059602384095363	0.0043201728069122	0.0026801072042881	0.0093603744149766	0.0029601184047361	0.0027201088043521	0.000680027201088	0.000960038401536	0.0015600624024961	0.0134805392215689	0.001440057602304	0.0010000400016	k__Bacteria;p__Proteobacteria;
Verrucomicrobiota	0.0143605744229769	0.0111204448177927	0.000160006400256	0.0065202608104324	0.001240049601984	0.000880035201408	0.000320012800512	0.001320052802112	8.00032001280051e-05	0.0	0.137085483419337	0.077803112124485	0.078403136125445	0.0546421856874275	0.0327613104524181	0.0582023280931237	0.0198807952318093	0.031641265650626	0.0321212848513941	0.000480019200768	0.000360014400576	0.00040001600064	0.000520020800832	0.0023200928037121	0.000640025601024	0.0017600704028161	0.001080043201728	0.000640025601024	0.00080003200128	0.001440057602304	0.0264810592423697	0.000640025601024	0.0052402096083843	0.0137605504220169	0.000160006400256	0.000280011200448	0.000840033601344	0.0026401056042241	0.0028801152046081	0.0361214448577943	0.0400816032641306	0.0647625905036202	0.0226409056362255	0.0181207248289932	0.00040001600064	0.000480019200768	0.000520020800832	0.000440017600704	0.000680027201088	k__Bacteria;p__Verrucomicrobiota;
Cyanobacteria	0.0	0.0	4.00016000640026e-05	0.155486219448778	0.0086803472138885	0.0074002960118404	0.000160006400256	0.0109204368174727	0.000240009600384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.00016000640026e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Cyanobacteria;
Deferribacteres	0.0297211888475539	0.0091203648145925	0.0040401616064642	0.0136805472218889	0.0442017680707228	0.0138405536221449	0.0072802912116484	0.0138805552222089	0.0192007680307212	0.0019200768030721	0.0126005040201608	0.0343613744549782	0.0766030641225649	0.0018400736029441	0.015960638425537	0.0222808912356494	0.0254410176407056	0.0252410096403856	0.150726029041162	0.0021600864034561	0.0061202448097923	0.0022400896035841	0.0064002560102404	0.0044401776071042	0.0189207568302732	0.0062802512100484	0.0055202208088323	0.0049601984079363	0.0045201808072322	0.0076803072122884	0.0348813952558102	0.0362814512580503	0.0046801872074883	0.0136805472218889	0.0526821072842914	0.0064402576103044	0.0042001680067202	0.0085203408136325	0.0039601584063362	0.0073202928117124	0.0099203968158726	0.0214408576343054	0.0062402496099844	0.0089203568142725	0.0094803792151686	0.0028401136045441	0.001120044801792	0.0023200928037121	0.0055202208088323	k__Bacteria;p__Deferribacteres;
unidentified_Bacteria	0.0344813792551702	0.0121604864194568	0.0043201728069122	0.0347613904556182	0.047281891275651	0.0173206928277131	0.0082003280131205	0.015120604824193	0.0017200688027521	0.0047601904076163	0.0176407056282251	0.0052402096083843	0.0041201648065922	0.0063602544101764	0.0057202288091523	0.015400616024641	0.0410416416656666	0.0355214208568343	0.0803632145285812	0.015880635225409	0.0080803232129285	0.0063602544101764	0.0083603344133765	0.0131605264210568	0.0054002160086403	0.015520620824833	0.0061602464098563	0.0127605104204168	0.0170006800272011	0.0358814352574103	0.0237609504380175	0.0389215568622745	0.0192407696307852	0.0111204448177927	0.0041601664066562	0.0078403136125445	0.0123604944197768	0.0092803712148485	0.0081603264130565	0.0234809392375695	0.0133605344213769	0.0456418256730269	0.0219608784351374	0.0326813072522901	0.0030801232049282	0.0042801712068482	0.0082803312132485	0.0076803072122884	0.0051602064082563	k__Bacteria;p__unidentified_Bacteria;
Euryarchaeota	0.0	0.0	0.0	0.0120004800192008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Archaea;p__Euryarchaeota;
Actinobacteriota	0.0029201168046721	0.0043201728069122	0.0053202128085123	0.0031201248049922	0.0081203248129925	0.000440017600704	0.000640025601024	0.0024400976039041	0.0022000880035201	0.000960038401536	0.00060002400096	0.0017600704028161	0.000560022400896	0.00060002400096	0.001080043201728	0.001080043201728	0.0022000880035201	0.0017200688027521	0.0010000400016	0.000920036801472	0.00140005600224	0.00120004800192	0.0018800752030081	0.0022800912036481	0.000560022400896	0.000880035201408	0.001280051202048	0.001440057602304	0.0010000400016	0.0016800672026881	0.0031201248049922	0.0019600784031361	0.0030801232049282	0.0025601024040961	0.0071602864114564	0.0039201568062722	0.0064002560102404	0.0064802592103684	0.0051602064082563	0.0022400896035841	0.0024800992039681	0.0023200928037121	0.0024800992039681	0.0018800752030081	0.0036001440057602	0.0054402176087043	0.0098803952158086	0.0049201968078723	0.0034401376055042	k__Bacteria;p__Actinobacteriota;
Actinobacteria	8.00032001280051e-05	0.0	0.0	0.0084003360134405	0.000440017600704	0.000320012800512	0.0	0.0041201648065922	0.000880035201408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.00016000640026e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.00016000640026e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.00016000640026e-05	0.0	0.000120004800192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Actinobacteria;
Gemmatimonadetes	0.0	0.0	0.0	0.0049601984079363	8.00032001280051e-05	8.00032001280051e-05	4.00016000640026e-05	0.00040001600064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Gemmatimonadetes;
Spirochaetota	0.0	0.0	0.0	0.0046801872074883	0.0	0.0	0.0	4.00016000640026e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Spirochaetota;
Chloroflexi	0.0	0.0	0.0	0.0039601584063362	0.0	0.0	0.0	0.000960038401536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Chloroflexi;
Myxococcota	0.0	0.0	0.0	0.0027201088043521	0.000120004800192	8.00032001280051e-05	0.0	0.00140005600224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Myxococcota;
Fibrobacterota	0.0	0.0	0.0	0.000440017600704	0.0	0.0	0.0	0.0020800832033281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Fibrobacterota;
Planctomycetota	0.0	0.0	0.0	0.0019200768030721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Planctomycetota;
Acidobacteriota	0.0	0.0	0.0	0.001480059202368	4.00016000640026e-05	8.00032001280051e-05	0.0	0.001440057602304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Acidobacteriota;
Bdellovibrionota	0.0	0.0	0.0	0.001160046401856	0.0	8.00032001280051e-05	0.0	0.000120004800192	4.00016000640026e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Bdellovibrionota;
Desulfobacterota	0.0	0.0	0.0	0.000360014400576	0.0	8.00032001280051e-05	0.0	0.000560022400896	4.00016000640026e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Desulfobacterota;
Nitrospirota	0.0	0.0	0.0	0.0	4.00016000640026e-05	4.00016000640026e-05	0.0	0.000480019200768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Nitrospirota;
Kapabacteria	0.0	0.0	0.0	0.000440017600704	0.0	0.0	0.0	0.000240009600384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Kapabacteria;
Deinococcota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Deinococcota;
Chlamydiae	0.0	0.0	0.0	0.000120004800192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Chlamydiae;
Parcubacteria	0.0	0.0	0.0	4.00016000640026e-05	0.0	0.0	0.0	4.00016000640026e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Parcubacteria;
Gemmatimonadota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.00032001280051e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Gemmatimonadota;
Campylobacterota	0.0	0.0	0.0	0.0	4.00016000640026e-05	0.0	0.0	4.00016000640026e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Campylobacterota;
Gracilibacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.00032001280051e-05	4.00016000640026e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Gracilibacteria;
Fusobacteriota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.00032001280051e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Fusobacteriota;
WPS-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__WPS-2;
Elusimicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.00016000640026e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Elusimicrobia;
NB1-j	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__NB1-j;
Crenarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.00016000640026e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Archaea;p__Crenarchaeota;
Abditibacteriota	0.0	0.0	0.0	4.00016000640026e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Abditibacteriota;
Armatimonadota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.00016000640026e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Armatimonadota;
SAR324_clade(Marine_group_B)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__SAR324_clade(Marine_group_B);
Entotheonellaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Entotheonellaeota;
Candidatus_Kaiserbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Candidatus_Kaiserbacteria;
Latescibacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Latescibacterota;
Others	0.0219608784351372	0.036201448057922	0.0103604144165763	0.0046401856074241	0.0030001200047996	0.0003600144005757	0.0011200448017919	0.002880115204607	0.0236009440377613	0.0075203008120323	0.0020000800031999	0.0011200448017917	0.0120004800192008	0.0011200448017919	0.0059602384095365	0.0056002240089597	0.00360014400576	0.0018800752030082	0.005320212808512	0.0031201248049918	0.0257210288411536	0.0110404416176644	0.007120284811392	0.0061202448097925	0.002840113604544	0.0111204448177928	0.0024800992039683	0.0152806112244488	0.0312012480499216	0.0110004400176005	0.0386015440617622	0.0159206368254727	0.0083203328133122	0.0147605904236168	0.0292011680467216	0.0267210688427537	0.0253610144405778	0.0188007520300812	0.0290011600464015	0.0126005040201604	0.0138405536221445	0.0086003440137604	0.0144405776231049	0.0205608224328971	0.033761350454018	0.015920636825473	0.0100004000160004	0.017320692827713	0.018400736029441	Others
